FirstName,LastName,Race,BirthPlace,BirthPlace2,PLAYER_NAME
Julius,Randle,black,USA,,Julius Randle
Justin,Holiday,black,USA,,Justin Holiday
Justin,Jackson,black/Mixed,USA,,Justin Jackson
Justin,James,black/Mixed,USA,,Justin James
Justin,Wright-Foreman,black,USA,,Justin Wright-Foreman
Justise,Winslow,black,USA,,Justise Winslow
Jusuf,Nurkic,white,Bosnia,,Jusuf Nurkic
Juwan,Morgan,black,USA,,Juwan Morgan
Kadeem,Allen,black,USA,,Kadeem Allen
Karl-Anthony,Towns,black/Mixed,Dominican Republic,Hispanic,Karl-Anthony Towns
Kawhi,Leonard,black,USA,,Kawhi Leonard
Keita,Bates-Diop,black,USA,,Keita Bates-Diop
Kelan,Martin,black,USA,,Kelan Martin
Keldon,Johnson,black,USA,,Keldon Johnson
Kelly,Olynyk,white,Canada,,Kelly Olynyk
Kelly,Oubre Jr.,black,USA,,Kelly Oubre Jr.
Kemba,Walker,black,USA,,Kemba Walker
Kendrick,Nunn,black,USA,,Kendrick Nunn
Kenny,Wooten,black,USA,,Kenny Wooten
Kenrich,Williams,black,USA,,Kenrich Williams
Kent,Bazemore,black,USA,,Kent Bazemore
Kentavious,Caldwell-Pope,black,USA,,Kentavious Caldwell-Pope
Kevin,Durant,black,USA,,Kevin Durant
Kevin,Hervey,black,USA,,Kevin Hervey
Kevin,Huerter,white,USA,,Kevin Huerter
Kevin,Knox II,black,USA,,Kevin Knox II
Kevin,Love,white,USA,,Kevin Love
Kevin,Porter Jr.,black,USA,,Kevin Porter Jr.
Kevon,Looney,black,USA,,Kevon Looney
Khem,Birch,black,Canada,,Khem Birch
Khris,Middleton,black,USA,,Khris Middleton
Khyri,Thomas,black,USA,,Khyri Thomas
Klay,Thompson,black/Mixed,USA,,Klay Thompson
Kobi,Simmons,black,USA,,Kobi Simmons
Kostas,Antetokounmpo,black,Greece,,Kostas Antetokounmpo
Kris,Dunn,black,USA,,Kris Dunn
Kristaps,Porzingis,white,Latvia,,Kristaps Porzingis
Ky,Bowman,black,USA,,Ky Bowman
Kyle,Alexander,black,Canada,,Kyle Alexander
Kyle,Anderson,black/Mixed,USA,,Kyle Anderson
Kyle,Guy,white,USA,,Kyle Guy
Kyle,Korver,white,USA,,Kyle Korver
Kyle,Kuzma,black/Mixed,USA,,Kyle Kuzma
Kyle,Lowry,black,USA,,Kyle Lowry
Kyle,O'Quinn,black,USA,,Kyle O'Quinn
Kyrie,Irving,black,USA,,Kyrie Irving
KZ,Okpala,black,USA,,KZ Okpala
LaMarcus,Aldridge,black,USA,,LaMarcus Aldridge
Landry,Shamet,black/Mixed,USA,,Landry Shamet
Langston,Galloway,black,USA,,Langston Galloway
Larry,Nance Jr.,black/Mixed,USA,,Larry Nance Jr.
Lauri,Markkanen,white,Finland,,Lauri Markkanen
LeBron,James,black,USA,,LeBron James
Lonnie,Walker IV,black,USA,,Lonnie Walker IV
Lonzo,Ball,black/Mixed,USA,,Lonzo Ball
Lou,Williams,black,USA,,Lou Williams
Louis,King,black,USA,,Louis King
Luguentz,Dort,black,Canada,,Luguentz Dort
Luka,Doncic,white,Slovenia,,Luka Doncic
Luka,Samanic,white,Croatia,,Luka Samanic
Luke,Kennard,white,USA,,Luke Kennard
Luke,Kornet,white,USA,,Luke Kornet
Malcolm,Brogdon,black/Mixed,USA,,Malcolm Brogdon
Malcolm,Miller,black,USA,,Malcolm Miller
Malik,Beasley,black,USA,,Malik Beasley
Malik,Monk,black,USA,,Malik Monk
Marc,Gasol,white,Spain,Hispanic,Marc Gasol
Marco,Belinelli,white,Italy,,Marco Belinelli
Marcus,Morris Sr.,black,USA,,Marcus Morris Sr.
Marcus,Smart,black,USA,,Marcus Smart
Marial,Shayok,black,Canada,,Marial Shayok
Mario,Hezonja,white,Serbia,,Mario Hezonja
